2015-11-04 13:26:41,537 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2015-11-04 13:26:41,553 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 10ms)
2015-11-04 13:26:41,561 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-11-04 13:26:41,596 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 36 (took 33ms)
2015-11-04 13:26:41,679 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-11-04 13:26:41,680 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-11-04 13:26:41,680 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-11-04 13:26:41,681 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 14 (took 0ms)
2015-11-04 13:26:41,705 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-11-04 13:26:41,706 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 6 (took 0ms)
2015-11-04 13:26:41,706 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-11-04 13:26:41,707 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 30 (took 1ms)
2015-11-04 13:26:41,717 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-11-04 13:26:41,718 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-11-04 13:26:41,718 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-11-04 13:26:41,718 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-11-04 13:26:42,487 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-11-04 13:26:42,487 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-11-04 13:26:42,497 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2015-11-04 13:26:42,497 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 0ms)
2015-11-04 13:26:42,512 [7] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2015-11-04 13:26:42,843 [7] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2015-11-04 13:26:42,871 [7] INFO  jumps.umbraco.usync.uSync - [Thread 1] uSync Starting - for detailed debug info. set priority to 'Debug' in log4net.config file
2015-11-04 13:26:42,872 [7] INFO  jumps.umbraco.usync.uSync - [Thread 1] uSync Initialized (1ms)
2015-11-04 13:26:42,875 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2015-11-04 13:26:42,876 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 0ms)
2015-11-04 13:26:43,982 [7] INFO  umbraco.content - [Thread 10] Loading content from disk cache...
2015-11-04 13:26:44,103 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-11-04 13:26:44,103 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 22 (took 0ms)
2015-11-04 13:26:44,427 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-11-04 13:26:44,427 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 43 (took 0ms)
2015-11-04 13:26:45,393 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.interfaces.IDataType
2015-11-04 13:26:45,394 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 0ms)
2015-11-04 13:26:45,400 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.interfaces.ITree
2015-11-04 13:26:45,400 [7] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 0ms)
2015-11-04 13:27:05,160 [7] INFO  Umbraco.Web.Security.WebSecurity - [Thread 10] User Id: 0 logged in
2015-11-04 13:27:05,259 [7] INFO  Umbraco.Core.PluginManager - [Thread 12] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-11-04 13:27:05,260 [7] INFO  Umbraco.Core.PluginManager - [Thread 12] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-11-04 13:31:27,013 [7] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.interfaces.ICacheRefresher
2015-11-04 13:31:27,013 [7] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 0ms)
2015-11-04 14:08:23,289 [7] INFO  Umbraco.Web.Security.WebSecurity - [Thread 192] User Id: 0 logged in
2015-11-04 14:36:58,698 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:36:58,704 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:36:58,707 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:36:58,708 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:36:58,709 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=3064. This is most likely caused by the page not being published.
2015-11-04 14:36:58,711 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:36:58,810 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:36:58,811 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:36:58,814 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:36:58,822 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 312] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:58:04,593 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:58:04,594 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:58:04,596 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:58:04,597 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:58:04,597 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=3064. This is most likely caused by the page not being published.
2015-11-04 14:58:04,598 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 14:58:04,599 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:58:04,600 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:58:04,601 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 14:58:04,606 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 243] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 15:02:27,292 [7] INFO  Umbraco.Web.Security.WebSecurity - [Thread 314] User Id: 0 logged in
2015-11-04 15:02:27,342 [7] INFO  Umbraco.Core.PluginManager - [Thread 200] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-11-04 15:02:27,342 [7] INFO  Umbraco.Core.PluginManager - [Thread 200] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-11-04 15:02:56,956 [7] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 301] Content 'Site Structure' with Id '1831' has been published.
2015-11-04 15:02:56,977 [7] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 301] Content 'Site Data' with Id '1568' has been published.
2015-11-04 15:02:56,978 [7] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 301] Content 'Purity Bridge Blog' with Id '3168' has been published.
2015-11-04 15:02:56,980 [7] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 301] Content 'Purity Bridge Newsletters' with Id '4782' has been published.
2015-11-04 15:02:56,986 [7] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 301] Content 'Purity Bridge Events' with Id '4795' has been published.
2015-11-04 15:02:56,995 [7] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 301] Content 'Global Configurations' with Id '3205' has been published.
2015-11-04 15:02:59,170 [7] ERROR umbraco.presentation.webservices.nodeSorter - [Thread 301] Could not update content sort order
System.NotSupportedException: Specified method is not supported.
   at Umbraco.Core.Services.NotificationService.SendNotifications(IUser operatingUser, IUmbracoEntity entity, String action, String actionName, HttpContextBase http, Func`3 createSubject, Func`3 createBody)
   at Umbraco.Web.NotificationServiceExtensions.SendNotification(INotificationService service, IUser sender, IUmbracoEntity entity, IAction action, UmbracoContext umbracoContext, ApplicationContext applicationContext)
   at Umbraco.Web.NotificationServiceExtensions.SendNotification(INotificationService service, IUmbracoEntity entity, IAction action, UmbracoContext umbracoContext, ApplicationContext applicationContext)
   at umbraco.presentation.webservices.nodeSorter.SortContent(String[] ids, Int32 parentId)
2015-11-04 15:05:15,071 [7] INFO  umbraco.content - [Thread 317] Loading content from database...
2015-11-04 15:05:30,880 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 15:05:30,881 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 15:05:30,885 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 15:05:30,886 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 15:05:30,887 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=3064. This is most likely caused by the page not being published.
2015-11-04 15:05:30,888 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 15:05:30,890 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 15:05:30,890 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 15:05:30,891 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 15:05:30,897 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 205] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
2015-11-04 15:30:29,335 [7] INFO  Umbraco.Web.Security.WebSecurity - [Thread 278] User Id: 0 logged in
2015-11-04 15:30:39,241 [7] INFO  umbraco.content - [Thread 278] Loading content from database...
2015-11-04 15:37:19,535 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 140] Couldn't find any page with nodeId=2047. This is most likely caused by the page not being published.
2015-11-04 15:37:19,536 [7] WARN  Umbraco.Web.Routing.DefaultUrlProvider - [Thread 140] Couldn't find any page with nodeId=2063. This is most likely caused by the page not being published.
